FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
08022021     0  24.2   77  1014.5  140   24     AEROPARQUE AERO                                     
08022021     1  24.0   72  1014.1  140   26     AEROPARQUE AERO                                     
08022021     2  23.6   71  1013.7  140   17     AEROPARQUE AERO                                     
08022021     3  22.8   80  1013.7  140   17     AEROPARQUE AERO                                     
08022021     4  22.6   83  1013.8  140   13     AEROPARQUE AERO                                     
08022021     5  22.5   82  1013.7  140   11     AEROPARQUE AERO                                     
08022021     6  21.7   81  1014.1  180   11     AEROPARQUE AERO                                     
08022021     7  20.4   84  1015.1  180   17     AEROPARQUE AERO                                     
08022021     8  21.0   82  1015.9  160   13     AEROPARQUE AERO                                     
08022021     9  20.4   91  1016.4  160   11     AEROPARQUE AERO                                     
08022021    10  20.1   93  1016.9  140   19     AEROPARQUE AERO                                     
08022021    11  20.6   84  1017.4  140   20     AEROPARQUE AERO                                     
08022021    12  22.4   71  1017.1  140   20     AEROPARQUE AERO                                     
08022021    13  21.4   78  1017.2  140   24     AEROPARQUE AERO                                     
08022021    14  22.2   68  1017.0  140   20     AEROPARQUE AERO                                     
08022021    15  23.3   73  1016.7  110   31     AEROPARQUE AERO                                     
08022021    16  22.8   73  1016.5  110   31     AEROPARQUE AERO                                     
08022021    17  23.2   73  1016.6  110   28     AEROPARQUE AERO                                     
08022021    18  23.3   69  1016.4  110   28     AEROPARQUE AERO                                     
08022021    19  22.9   69  1017.0  110   24     AEROPARQUE AERO                                     
08022021    20  21.6   74  1017.6  110   24     AEROPARQUE AERO                                     
08022021    21  20.7   78  1018.3  140   17     AEROPARQUE AERO                                     
08022021    22  20.6   77  1018.8  140   22     AEROPARQUE AERO                                     
08022021    23  20.1   80  1019.0  140   19     AEROPARQUE AERO                                     
08022021     0  13.6   97  1019.6  140   20     AZUL AERO                                           
08022021     1  13.6   92  1019.7  140   24     AZUL AERO                                           
08022021     2  13.2   93  1019.1  140   22     AZUL AERO                                           
08022021     3  13.6   87  1018.9  140   22     AZUL AERO                                           
08022021     4  13.4   88  1018.8  140   19     AZUL AERO                                           
08022021     5  13.2   90  1019.1  140   19     AZUL AERO                                           
08022021     6  13.2   87  1019.2  140   20     AZUL AERO                                           
08022021     7  13.1   85  1020.1  140   19     AZUL AERO                                           
08022021     8  14.2   82  1020.6   90   20     AZUL AERO                                           
08022021     9  14.6   79  1020.8   90   22     AZUL AERO                                           
08022021    10  17.4   62  1020.9   90   17     AZUL AERO                                           
08022021    11  18.6   56  1021.0   90   17     AZUL AERO                                           
08022021    12  20.0   56  1020.9   90   17     AZUL AERO                                           
08022021    13  19.4   57  1020.7   90   13     AZUL AERO                                           
08022021    14  20.6   54  1020.5   90   15     AZUL AERO                                           
08022021    15  21.8   51  1020.0   90   17     AZUL AERO                                           
08022021    16  21.2   48  1019.5  140   13     AZUL AERO                                           
08022021    17  22.2   45  1019.3  140   15     AZUL AERO                                           
08022021    18  21.6   47  1019.6  140   17     AZUL AERO                                           
08022021    19  20.2   55  1020.0   90   15     AZUL AERO                                           
08022021    20  18.6   63  1020.5   90   13     AZUL AERO                                           
08022021    21  15.7   80  1021.5   90    6     AZUL AERO                                           
08022021    22  14.6   85  1022.1   90    7     AZUL AERO                                           
08022021    23  13.8   90  1022.7   70    7     AZUL AERO                                           
08022021     0  13.0   85  1023.6   90   13     BAHIA BLANCA AERO                                   
08022021     1  13.5   86  1023.8  140    9     BAHIA BLANCA AERO                                   
08022021     2  14.1   80  1023.5  110   11     BAHIA BLANCA AERO                                   
08022021     3  13.8   81  1023.3   90    9     BAHIA BLANCA AERO                                   
08022021     4  12.8   83  1023.1   90   11     BAHIA BLANCA AERO                                   
08022021     5  12.9   82  1023.2   90   11     BAHIA BLANCA AERO                                   
08022021     6  13.5   81  1023.5   90    9     BAHIA BLANCA AERO                                   
08022021     7  13.8   79  1023.8   90   13     BAHIA BLANCA AERO                                   
08022021     8  14.8   70  1024.1   90   13     BAHIA BLANCA AERO                                   
08022021     9  16.0   70  1024.3  110   20     BAHIA BLANCA AERO                                   
08022021    10  17.8   59  1024.3  110   20     BAHIA BLANCA AERO                                   
08022021    11  18.2   56  1024.5  110   22     BAHIA BLANCA AERO                                   
08022021    12  19.6   53  1024.3  110   19     BAHIA BLANCA AERO                                   
08022021    13  20.8   45  1023.9  140   22     BAHIA BLANCA AERO                                   
08022021    14  22.0   44  1023.5  140   20     BAHIA BLANCA AERO                                   
08022021    15  21.4   47  1023.0  140   19     BAHIA BLANCA AERO                                   
08022021    16  21.5   47  1022.6  140   20     BAHIA BLANCA AERO                                   
08022021    17  22.2   44  1022.2  140   26     BAHIA BLANCA AERO                                   
08022021    18  21.0   50  1022.2  140   26     BAHIA BLANCA AERO                                   
08022021    19  21.0   51  1022.1  140   30     BAHIA BLANCA AERO                                   
08022021    20  18.6   59  1022.7  140   28     BAHIA BLANCA AERO                                   
08022021    21  16.8   68  1023.3  110   22     BAHIA BLANCA AERO                                   
08022021    22  15.5   73  1024.4  110   22     BAHIA BLANCA AERO                                   
08022021    23  14.7   76  1024.6   90   19     BAHIA BLANCA AERO                                   
08022021     0  14.9   61  1541.0   50   15     BARILOCHE AERO                                      
08022021     1  14.5   62  1542.0   50   11     BARILOCHE AERO                                      
08022021     2  14.5   62  1542.0   50    9     BARILOCHE AERO                                      
08022021     3  14.3   62  1540.0   50   11     BARILOCHE AERO                                      
08022021     4  14.3   61  1538.0  140    6     BARILOCHE AERO                                      
08022021     5  14.3   61  1535.0  140    7     BARILOCHE AERO                                      
08022021     6  14.0   61  1535.0  140    6     BARILOCHE AERO                                      
08022021     7  13.7   62  1537.0   90    9     BARILOCHE AERO                                      
08022021     8  13.8   60  1540.0   70   13     BARILOCHE AERO                                      
08022021     9  14.0   58  1541.0   50   11     BARILOCHE AERO                                      
08022021    11  15.3   54  1540.0   50   13     BARILOCHE AERO                                      
08022021    12  16.4   51  1542.0   50   13     BARILOCHE AERO                                      
08022021    13  17.8   47  1539.0   50   19     BARILOCHE AERO                                      
08022021    14  18.0   48  1539.0   20   24     BARILOCHE AERO                                      
08022021    15  18.8   45  1533.0   20   26     BARILOCHE AERO                                      
