FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
08032021     0  24.6   77  1011.4   50    7     AEROPARQUE AERO                                     
08032021     1  24.6   77  1011.8   50    9     AEROPARQUE AERO                                     
08032021     2  24.5   76  1012.1   20    7     AEROPARQUE AERO                                     
08032021     3  24.6   74  1012.0  360    7     AEROPARQUE AERO                                     
08032021     4  24.0   71  1012.2  320   11     AEROPARQUE AERO                                     
08032021     5  23.5   71  1012.2  320   13     AEROPARQUE AERO                                     
08032021     6  23.0   70  1013.0  270    4     AEROPARQUE AERO                                     
08032021     7  22.5   66  1013.3  990    2     AEROPARQUE AERO                                     
08032021     8  23.1   67  1013.6  320    7     AEROPARQUE AERO                                     
08032021     9  23.9   67  1012.4  340   11     AEROPARQUE AERO                                     
08032021    10  24.2   71  1014.0  180    4     AEROPARQUE AERO                                     
08032021    11  26.2   67  1014.5  360   13     AEROPARQUE AERO                                     
08032021    12  27.2   62  1014.8  340   19     AEROPARQUE AERO                                     
08032021    13  29.6   53  1014.3  320   20     AEROPARQUE AERO                                     
08032021    14  31.9   39  1014.0  990    6     AEROPARQUE AERO                                     
08032021    15  31.5   43  1013.4   50    9     AEROPARQUE AERO                                     
08032021    16  29.7   49  1013.1  360    9     AEROPARQUE AERO                                     
08032021    17  29.2   58  1012.7   20   15     AEROPARQUE AERO                                     
08032021    18  28.2   67  1013.0   20    7     AEROPARQUE AERO                                     
08032021    19  28.5   55  1013.7  160   22     AEROPARQUE AERO                                     
08032021    20  24.9   70  1014.7  110   31     AEROPARQUE AERO                                     
08032021    21  23.4   66  1016.2  110   22     AEROPARQUE AERO                                     
08032021    22  21.2   70  1017.3  110   26     AEROPARQUE AERO                                     
08032021    23  20.6   68  1018.0  140   17     AEROPARQUE AERO                                     
08032021     0  21.9   82  1010.1  290   11     AZUL AERO                                           
08032021     1  20.4   89  1009.8  290    6     AZUL AERO                                           
08032021     2  20.5   88  1010.5  290    6     AZUL AERO                                           
08032021     3  20.0   91  1009.9  320    7     AZUL AERO                                           
08032021     4  20.6   93  1010.0  270    7     AZUL AERO                                           
08032021     5  19.0   92  1011.4  250    4     AZUL AERO                                           
08032021     6  19.0   93  1011.5  270    2     AZUL AERO                                           
08032021     7  18.6   94  1012.6  230    7     AZUL AERO                                           
08032021     8  18.7   88  1014.0  230    7     AZUL AERO                                           
08032021     9  18.9   82  1014.9  230   11     AZUL AERO                                           
08032021    10  20.2   73  1015.7  140   19     AZUL AERO                                           
08032021    11  22.2   53  1016.5  140   24     AZUL AERO                                           
08032021    12  23.6   45  1016.9  140   19     AZUL AERO                                           
08032021    13  24.6   38  1016.7  180   13     AZUL AERO                                           
08032021    14  25.6   39  1016.4  140   11     AZUL AERO                                           
08032021    15  25.7   32  1016.4  140   17     AZUL AERO                                           
08032021    16  25.8   31  1016.1  140   11     AZUL AERO                                           
08032021    17  25.4   36  1016.3  140   13     AZUL AERO                                           
08032021    18  24.0   41  1016.5  180    9     AZUL AERO                                           
08032021    19  21.6   47  1017.1  140   15     AZUL AERO                                           
08032021    20  19.2   54  1017.6  140   11     AZUL AERO                                           
08032021    21  15.3   68  1018.8  140   17     AZUL AERO                                           
08032021    22  13.7   73  1019.4  110   13     AZUL AERO                                           
08032021    23  11.9   79  1019.5  140    7     AZUL AERO                                           
08032021     0  21.0   62  1010.6  320    9     BAHIA BLANCA AERO                                   
08032021     1  18.2   75  1010.8  340    9     BAHIA BLANCA AERO                                   
08032021     2  21.8   58  1011.7  250   24     BAHIA BLANCA AERO                                   
08032021     3  21.8   52  1012.7  200   22     BAHIA BLANCA AERO                                   
08032021     4  19.8   71  1014.3  180   33     BAHIA BLANCA AERO                                   
08032021     5  18.8   79  1016.0  180   26     BAHIA BLANCA AERO                                   
08032021     6  18.0   73  1017.1  180   20     BAHIA BLANCA AERO                                   
08032021     7  17.0   73  1017.8  180   19     BAHIA BLANCA AERO                                   
08032021     8  17.2   70  1019.4  180   11     BAHIA BLANCA AERO                                   
08032021     9  18.7   64  1019.8  180   17     BAHIA BLANCA AERO                                   
08032021    10  20.1   53  1020.8  160   24     BAHIA BLANCA AERO                                   
08032021    11  20.9   47  1021.0  180   24     BAHIA BLANCA AERO                                   
08032021    12  21.8   39  1021.3  180   20     BAHIA BLANCA AERO                                   
