FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
17012021     0  18.0   87  1007.5  160   15     AEROPARQUE AERO                                     
17012021     1  18.6   82  1007.8  200   13     AEROPARQUE AERO                                     
17012021     2  17.7   79  1007.2  160   15     AEROPARQUE AERO                                     
17012021     3  17.2   74  1007.6  200   15     AEROPARQUE AERO                                     
17012021     4  17.4   79  1007.7  200   11     AEROPARQUE AERO                                     
17012021     5  17.2   79  1008.3  200    9     AEROPARQUE AERO                                     
17012021     6  16.9   83  1008.7  200   11     AEROPARQUE AERO                                     
17012021     7  17.4   82  1009.2  230    9     AEROPARQUE AERO                                     
17012021     8  18.0   75  1009.5  230   15     AEROPARQUE AERO                                     
17012021     9  19.0   70  1010.0  230   13     AEROPARQUE AERO                                     
17012021    10  20.0   63  1010.4  230   15     AEROPARQUE AERO                                     
17012021    11  20.2   57  1010.5  230   17     AEROPARQUE AERO                                     
17012021    12  22.1   45  1009.8  250   19     AEROPARQUE AERO                                     
17012021    13  23.8   34  1009.2  250   22     AEROPARQUE AERO                                     
17012021    14  24.7   31  1008.6  230   22     AEROPARQUE AERO                                     
17012021    15  25.6   32  1008.6  230   20     AEROPARQUE AERO                                     
17012021    16  25.6   32  1008.9  230   20     AEROPARQUE AERO                                     
17012021    17  25.6   33  1009.1  200   19     AEROPARQUE AERO                                     
17012021    18  25.5   30  1009.6  230   15     AEROPARQUE AERO                                     
17012021    19  25.2   32  1010.0  200   15     AEROPARQUE AERO                                     
17012021    20  24.5   35  1010.7  200   13     AEROPARQUE AERO                                     
17012021    21  23.2   43  1011.2  230   11     AEROPARQUE AERO                                     
17012021    22  22.2   48  1012.0  200    6     AEROPARQUE AERO                                     
17012021    23  22.0   52  1012.5  200    6     AEROPARQUE AERO                                     
17012021     0  15.4   94  1008.1  180   11     AZUL AERO                                           
17012021     1  14.8   90  1007.8  180    6     AZUL AERO                                           
17012021     2  14.8   89  1007.5  180   20     AZUL AERO                                           
17012021     3  14.7   88  1007.7  230    9     AZUL AERO                                           
17012021     4  14.2   86  1007.7  230    7     AZUL AERO                                           
17012021     5  13.5   88  1008.0  230    4     AZUL AERO                                           
17012021     6  13.6   86  1008.3  230    7     AZUL AERO                                           
17012021     7  13.8   81  1008.5  230    6     AZUL AERO                                           
17012021     8  14.6   76  1009.0  230   20     AZUL AERO                                           
17012021     9  15.6   71  1009.2  180   15     AZUL AERO                                           
17012021    10  17.4   64  1009.6  180   11     AZUL AERO                                           
17012021    11  18.4   59  1009.6  230   17     AZUL AERO                                           
17012021    12  19.0   55  1009.6  230   17     AZUL AERO                                           
17012021    13  19.4   55  1009.6  180   19     AZUL AERO                                           
17012021    14  21.4   47  1009.0  180   26     AZUL AERO                                           
17012021    15  22.2   45  1009.3  230   22     AZUL AERO                                           
17012021    16  22.4   43  1009.4  180   20     AZUL AERO                                           
17012021    17  22.8   42  1009.5  230   17     AZUL AERO                                           
17012021    18  23.0   41  1009.6  180   19     AZUL AERO                                           
17012021    19  22.6   42  1009.9  180   13     AZUL AERO                                           
17012021    20  21.6   39  1010.1  180   11     AZUL AERO                                           
17012021    21  17.4   62  1011.0  180   19     AZUL AERO                                           
17012021    22  17.4   57  1011.5  180    7     AZUL AERO                                           
17012021    23  15.0   69  1012.3  230    4     AZUL AERO                                           
17012021     0  14.8   80  1011.9  250   11     BAHIA BLANCA AERO                                   
17012021     1  14.7   79  1011.8  270   11     BAHIA BLANCA AERO                                   
17012021     2  14.5   75  1011.3  250   19     BAHIA BLANCA AERO                                   
17012021     3  12.9   78  1010.8  250   15     BAHIA BLANCA AERO                                   
17012021     4  12.1   81  1010.5  250   17     BAHIA BLANCA AERO                                   
17012021     5  11.4   84  1010.9  250   20     BAHIA BLANCA AERO                                   
17012021     6  11.2   83  1011.3  250   17     BAHIA BLANCA AERO                                   
17012021     7  11.4   82  1012.1  250   19     BAHIA BLANCA AERO                                   
17012021     8  13.7   82  1013.2  230   22     BAHIA BLANCA AERO                                   
17012021     9  15.0   77  1013.3  230   24     BAHIA BLANCA AERO                                   
17012021    10  17.5   67  1012.7  230   26     BAHIA BLANCA AERO                                   
17012021    11  19.5   53  1012.5  200   30     BAHIA BLANCA AERO                                   
17012021    12  21.0   44  1012.5  200   24     BAHIA BLANCA AERO                                   
17012021    13  22.2   41  1012.5  200   24     BAHIA BLANCA AERO                                   
17012021    14  23.3   36  1012.1  200   22     BAHIA BLANCA AERO                                   
17012021    15  24.2   36  1011.5  200   20     BAHIA BLANCA AERO                                   
17012021    16  25.1   34  1011.3  200   20     BAHIA BLANCA AERO                                   
