FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
28032021     0  18.1   81  1011.6  320    7     AEROPARQUE AERO                                     
28032021     1  17.9   82  1011.4  320    9     AEROPARQUE AERO                                     
28032021     2  17.8   83  1011.6  320   11     AEROPARQUE AERO                                     
28032021     3  17.2   90  1011.4    0    0     AEROPARQUE AERO                                     
28032021     4  17.0   92  1010.9  180    7     AEROPARQUE AERO                                     
28032021     5  17.9   91  1010.9  250    2     AEROPARQUE AERO                                     
28032021     6  18.3   90  1011.4  200    4     AEROPARQUE AERO                                     
28032021     7  18.3   90  1012.0  230    6     AEROPARQUE AERO                                     
28032021     8  18.2   90  1012.6  230    6     AEROPARQUE AERO                                     
28032021     9  19.5   82  1012.6  250    2     AEROPARQUE AERO                                     
28032021    10  20.6   78  1012.8   20    6     AEROPARQUE AERO                                     
28032021    11  21.8   72  1013.2   50   11     AEROPARQUE AERO                                     
28032021    12  21.6   76  1013.4   50   11     AEROPARQUE AERO                                     
28032021    13  21.7   76  1013.0   20    9     AEROPARQUE AERO                                     
28032021    14  22.4   74  1012.6   50   13     AEROPARQUE AERO                                     
28032021    15  22.4   74  1012.5   20   11     AEROPARQUE AERO                                     
28032021    16  22.5   71  1012.2   20   11     AEROPARQUE AERO                                     
28032021    17  22.5   71  1011.9  360    9     AEROPARQUE AERO                                     
28032021    18  22.2   72  1012.1  360    9     AEROPARQUE AERO                                     
28032021    19  21.5   77  1012.2  340    7     AEROPARQUE AERO                                     
28032021    20  21.7   76  1012.5  340    7     AEROPARQUE AERO                                     
28032021    21  21.6   77  1013.2  990    4     AEROPARQUE AERO                                     
28032021    22  21.3   76  1013.7  110    9     AEROPARQUE AERO                                     
28032021    23  21.4   75  1013.9  180    6     AEROPARQUE AERO                                     
28032021     0  13.8   93  1014.6  180   17     AZUL AERO                                           
28032021     1  14.2   93  1014.4  140   15     AZUL AERO                                           
28032021     2  15.2   94  1014.3  140   13     AZUL AERO                                           
28032021     3  15.5   93  1014.2  140   11     AZUL AERO                                           
28032021     4  15.5   93  1013.6  140   13     AZUL AERO                                           
28032021     5  15.8   94  1013.5  140    7     AZUL AERO                                           
28032021     6  15.8   94  1013.8  140   19     AZUL AERO                                           
28032021     7  15.9   93  1014.3  140   17     AZUL AERO                                           
28032021     8  15.8   96  1014.8  140   17     AZUL AERO                                           
28032021     9  15.8   96  1015.3  110   15     AZUL AERO                                           
