FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
25042021     0  15.8   62  1019.2  200   13     AEROPARQUE AERO                                     
25042021     1  15.0   68  1019.2  200    9     AEROPARQUE AERO                                     
25042021     2  14.1   72  1019.0  200    9     AEROPARQUE AERO                                     
25042021     3  13.9   73  1018.6  200    9     AEROPARQUE AERO                                     
25042021     4  13.4   73  1018.4  200    7     AEROPARQUE AERO                                     
25042021     5  13.2   73  1018.5  200    7     AEROPARQUE AERO                                     
25042021     6  12.7   78  1018.7  200    9     AEROPARQUE AERO                                     
25042021     7  12.3   82  1019.1  200    9     AEROPARQUE AERO                                     
25042021     8  12.1   80  1019.3  200    9     AEROPARQUE AERO                                     
25042021     9  12.7   79  1019.7  200   11     AEROPARQUE AERO                                     
25042021    10  14.9   73  1020.3  180   11     AEROPARQUE AERO                                     
25042021    11  16.3   71  1020.3  180    9     AEROPARQUE AERO                                     
25042021    12  17.8   64  1020.0  200   13     AEROPARQUE AERO                                     
25042021    13  18.9   58  1019.5  180   11     AEROPARQUE AERO                                     
25042021    14  19.5   60  1019.0  180   11     AEROPARQUE AERO                                     
25042021    15  19.4   61  1018.7  200   11     AEROPARQUE AERO                                     
25042021    16  19.6   63  1018.6  200    7     AEROPARQUE AERO                                     
25042021    17  19.5   65  1018.7  180    9     AEROPARQUE AERO                                     
25042021    18  19.0   69  1018.8  200    6     AEROPARQUE AERO                                     
25042021    19  18.5   70  1019.3  200    7     AEROPARQUE AERO                                     
25042021    20  18.4   71  1019.8  200    6     AEROPARQUE AERO                                     
25042021    21  17.8   76  1019.9  230    6     AEROPARQUE AERO                                     
25042021    22  17.7   75  1019.9  180    7     AEROPARQUE AERO                                     
25042021    23  17.2   76  1020.1  160    7     AEROPARQUE AERO                                     
25042021     0  10.6   85  1019.9  230    7     AZUL AERO                                           
25042021     1  10.3   86  1019.9  180    7     AZUL AERO                                           
25042021     2   9.8   91  1019.8  230    6     AZUL AERO                                           
25042021     3   9.8   91  1019.7  230    4     AZUL AERO                                           
25042021     4   9.7   91  1019.1  180    7     AZUL AERO                                           
25042021     5   8.8   97  1019.7  180    9     AZUL AERO                                           
25042021     6   8.4   97  1019.8  180    9     AZUL AERO                                           
25042021     7   8.0   97  1020.3  180    7     AZUL AERO                                           
25042021     8   7.8   92  1020.6  180    6     AZUL AERO                                           
25042021     9   9.6   92  1021.0  180    9     AZUL AERO                                           
25042021    10  13.6   89  1021.4  180    7     AZUL AERO                                           
25042021    11  15.4   81  1021.4  140   13     AZUL AERO                                           
25042021    12  17.4   69  1021.2  140   15     AZUL AERO                                           
25042021    13  17.2   69  1021.0  140   17     AZUL AERO                                           
25042021    14  18.0   68  1020.2   70    6     AZUL AERO                                           
25042021    15  18.4   63  1019.8  110    7     AZUL AERO                                           
25042021    16  19.0   60  1019.5   90    4     AZUL AERO                                           
25042021    17  18.0   64  1019.8   90    9     AZUL AERO                                           
25042021    18  17.6   69  1020.0   90    7     AZUL AERO                                           
25042021    19  15.1   84  1020.4    0    0     AZUL AERO                                           
25042021    20  14.2   89  1020.6    0    0     AZUL AERO                                           
25042021    21  12.6   92  1020.9    0    0     AZUL AERO                                           
25042021    22  12.2   93  1020.8  180    4     AZUL AERO                                           
25042021    23  12.1   94  1021.0  180    4     AZUL AERO                                           
25042021     0  10.6   86  1023.0  230   13     BAHIA BLANCA AERO                                   
25042021     1   9.4   88  1023.2  230   11     BAHIA BLANCA AERO                                   
25042021     2   9.0   89  1023.1  230   13     BAHIA BLANCA AERO                                   
25042021     3   8.9   90  1022.8  250   13     BAHIA BLANCA AERO                                   
25042021     4   8.7   95  1022.9  250    9     BAHIA BLANCA AERO                                   
25042021     5   8.5   96  1022.7  270    7     BAHIA BLANCA AERO                                   
25042021     6   8.7   96  1022.8  250   11     BAHIA BLANCA AERO                                   
25042021     7   6.2   97  1023.2  320    9     BAHIA BLANCA AERO                                   
25042021     8   6.8   97  1023.6  320    9     BAHIA BLANCA AERO                                   
25042021     9   8.4   97  1023.8  320    6     BAHIA BLANCA AERO                                   
25042021    10  11.7   95  1024.1  250   11     BAHIA BLANCA AERO                                   
25042021    11  14.6   83  1024.0  230   11     BAHIA BLANCA AERO                                   
25042021    12  17.1   73  1024.0  230   11     BAHIA BLANCA AERO                                   
25042021    13  16.9   69  1023.4  230   11     BAHIA BLANCA AERO                                   
25042021    14  17.4   64  1022.7  250    7     BAHIA BLANCA AERO                                   
25042021    15  18.6   58  1022.0  290    6     BAHIA BLANCA AERO                                   
25042021    16  18.2   59  1021.7  230    7     BAHIA BLANCA AERO                                   
25042021    17  19.1   56  1021.4  180    6     BAHIA BLANCA AERO                                   
25042021    18  17.1   63  1021.4  180    6     BAHIA BLANCA AERO                                   
25042021    19  15.0   69  1021.7  140    9     BAHIA BLANCA AERO                                   
25042021    20  12.1   79  1022.0  110   13     BAHIA BLANCA AERO                                   
25042021    21  11.4   89  1022.1   90   11     BAHIA BLANCA AERO                                   
25042021    22  10.3   90  1022.0   70   11     BAHIA BLANCA AERO                                   
25042021    23   9.0   95  1022.0   50   11     BAHIA BLANCA AERO                                   
25042021     0   5.5   74  1530.0  160    9     BARILOCHE AERO                                      
25042021     1   4.3   81  1531.0  160    6     BARILOCHE AERO                                      
25042021     2   3.7   85  1529.0  180    6     BARILOCHE AERO                                      
25042021     3   2.8   86  1525.0  180    7     BARILOCHE AERO                                      
25042021     4   2.1   88  1525.0  160    7     BARILOCHE AERO                                      
25042021     5   1.5   88  1522.0  180    6     BARILOCHE AERO                                      
25042021     6    .4   91  1521.0  160    7     BARILOCHE AERO                                      
25042021     7    .3   91  1518.0  160    6     BARILOCHE AERO                                      
25042021     8   -.2   94  1512.0    0    0     BARILOCHE AERO                                      
25042021     9    .4   91  1502.0  140    7     BARILOCHE AERO                                      
25042021    10   5.4   77  1517.0    0    0     BARILOCHE AERO                                      
25042021    11   8.4   65  1515.0    0    0     BARILOCHE AERO                                      
25042021    12  10.4   57  1514.0    0    0     BARILOCHE AERO                                      
25042021    13  12.8   49  1510.0    0    0     BARILOCHE AERO                                      
25042021    14  14.6   44  1502.0    0    0     BARILOCHE AERO                                      
25042021    15  15.1   42  1494.0  320    9     BARILOCHE AERO                                      
25042021    16  16.6   37  1490.0  320   11     BARILOCHE AERO                                      
25042021    17  17.2   38  1487.0  290   11     BARILOCHE AERO                                      
25042021    18  16.6   38  1484.0  320    9     BARILOCHE AERO                                      
25042021    19  13.8   48  1481.0  320    7     BARILOCHE AERO                                      
25042021    20   9.2   68  1479.0    0    0     BARILOCHE AERO                                      
25042021    21   7.4   66  1482.0  180    7     BARILOCHE AERO                                      
25042021    22   6.4   70  1489.0  180    9     BARILOCHE AERO                                      
25042021    23   5.8   72  1492.0  180    9     BARILOCHE AERO                                      
25042021     0 -15.8   77   970.5   90   17     BASE BELGRANO II                                    
25042021     3 -17.0   85   970.3   90   20     BASE BELGRANO II                                    
25042021     6 -16.0   85   970.8   90   19     BASE BELGRANO II                                    
25042021     9 -16.8   75   970.8  140   22     BASE BELGRANO II                                    
25042021    12 -15.6   77   970.9  140   22     BASE BELGRANO II                                    
25042021    15 -16.8   85   971.6  140   22     BASE BELGRANO II                                    
25042021    18 -17.0   65   972.6  140   33     BASE BELGRANO II                                    
25042021    21 -19.0   60   973.5  140   31     BASE BELGRANO II                                    
25042021     0  -1.9   92  1001.2  290   41     BASE CARLINI (EX JUBANY)                            
25042021     3   -.7   90   997.5  290   35     BASE CARLINI (EX JUBANY)                            
25042021     6    .1   83   994.2  320   37     BASE CARLINI (EX JUBANY)                            
25042021     9    .9   99   993.7  290   35     BASE CARLINI (EX JUBANY)                            
25042021    12    .7   97   992.2  320   35     BASE CARLINI (EX JUBANY)                            
25042021    15    .7   97   989.8  320   31     BASE CARLINI (EX JUBANY)                            
25042021    18   1.3   99   988.5  320   44     BASE CARLINI (EX JUBANY)                            
25042021    21    .9   97   985.7  290   33     BASE CARLINI (EX JUBANY)                            
25042021     0   1.1   96   991.6  110   15     BASE ESPERANZA                                      
25042021     3   4.8   24   988.9  230   39     BASE ESPERANZA                                      
25042021     6   5.0   85   986.0  230   46     BASE ESPERANZA                                      
25042021     9   6.2   84   985.3  230   44     BASE ESPERANZA                                      
25042021    12   4.6   58   983.2  250   50     BASE ESPERANZA                                      
25042021    15   4.9   50   982.0  250   52     BASE ESPERANZA                                      
25042021    18   4.2   52   982.6  230   41     BASE ESPERANZA                                      
25042021    21   3.5   58   981.7  250   24     BASE ESPERANZA                                      
25042021     0  -1.6   80   990.1  320   20     BASE MARAMBIO                                       
25042021     1    .8   61   988.9  320   17     BASE MARAMBIO                                       
25042021     2    .6   61   987.9  320   20     BASE MARAMBIO                                       
