FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
19042021     0  20.7   85  1019.0   20   11     AEROPARQUE AERO                                     
19042021     1  21.0   82  1019.2   20    9     AEROPARQUE AERO                                     
19042021     2  20.9   84  1019.4   50   15     AEROPARQUE AERO                                     
19042021     3  20.2   82  1019.4   20   17     AEROPARQUE AERO                                     
19042021     4  20.0   81  1019.5   20   19     AEROPARQUE AERO                                     
19042021     5  19.8   79  1019.7  360   22     AEROPARQUE AERO                                     
19042021     6  19.0   84  1020.3   20   19     AEROPARQUE AERO                                     
19042021     7  19.1   81  1020.7  360   19     AEROPARQUE AERO                                     
19042021     8  19.0   81  1021.1  360   19     AEROPARQUE AERO                                     
19042021     9  19.4   79  1021.9  360   19     AEROPARQUE AERO                                     
19042021    10  19.9   77  1022.2  360   15     AEROPARQUE AERO                                     
19042021    11  20.5   77  1022.1  360   15     AEROPARQUE AERO                                     
19042021    12  21.1   74  1021.8   20   11     AEROPARQUE AERO                                     
19042021    13  22.2   68  1021.1   20   11     AEROPARQUE AERO                                     
19042021    14  22.4   64  1020.2   70   13     AEROPARQUE AERO                                     
19042021    15  22.7   67  1019.6   70   13     AEROPARQUE AERO                                     
19042021    16  23.0   61  1019.3   70   13     AEROPARQUE AERO                                     
19042021    17  22.9   64  1019.3  110   15     AEROPARQUE AERO                                     
19042021    18  22.2   73  1019.3  110   19     AEROPARQUE AERO                                     
19042021    19  22.0   72  1019.1   90   15     AEROPARQUE AERO                                     
19042021    20  22.1   73  1019.5   70   19     AEROPARQUE AERO                                     
19042021    21  21.8   72  1019.7   70   22     AEROPARQUE AERO                                     
19042021    22  21.3   73  1020.1   70   22     AEROPARQUE AERO                                     
19042021    23  20.9   73  1020.6   70   22     AEROPARQUE AERO                                     
19042021     0  16.6   93  1018.3  360    9     AZUL AERO                                           
19042021     1  15.9   94  1018.6  360    9     AZUL AERO                                           
19042021     2  15.4   98  1018.9   50    4     AZUL AERO                                           
19042021     3  12.6  100  1019.1   90    4     AZUL AERO                                           
19042021     4  13.5   99  1018.9   90    2     AZUL AERO                                           
19042021     5  13.5   99  1018.8   50    4     AZUL AERO                                           
19042021     6  13.0   99  1019.0   50    4     AZUL AERO                                           
19042021     7  13.4   97  1019.6   50    6     AZUL AERO                                           
19042021     8  14.2   99  1020.0   50    9     AZUL AERO                                           
19042021     9  15.4   99  1020.2  360   11     AZUL AERO                                           
19042021    10  17.8   88  1020.3   20   19     AZUL AERO                                           
19042021    11  20.6   75  1019.9  340   20     AZUL AERO                                           
19042021    12  22.2   69  1019.7  360   19     AZUL AERO                                           
19042021    13  23.0   65  1019.3  360   20     AZUL AERO                                           
19042021    14  24.0   62  1018.4  340   22     AZUL AERO                                           
19042021    15  24.8   59  1018.1  360   19     AZUL AERO                                           
19042021    16  24.8   56  1017.9  360   20     AZUL AERO                                           
19042021    17  24.3   54  1017.9  360   22     AZUL AERO                                           
19042021    18  23.2   58  1017.9  360   17     AZUL AERO                                           
19042021    19  20.6   72  1018.3   50   13     AZUL AERO                                           
19042021    20  19.0   74  1018.9   50   17     AZUL AERO                                           
19042021    21  17.4   75  1019.2   20   17     AZUL AERO                                           
19042021    22  17.0   79  1019.5   50   19     AZUL AERO                                           
19042021    23  16.0   87  1020.0   50   17     AZUL AERO                                           
19042021     0  16.3   90  1015.4   50   15     BAHIA BLANCA AERO                                   
19042021     1  17.6   92  1015.4   50   11     BAHIA BLANCA AERO                                   
19042021     2  17.8   92  1015.5   20   13     BAHIA BLANCA AERO                                   
19042021     3  19.1   87  1014.8   20   20     BAHIA BLANCA AERO                                   
19042021     4  18.7   88  1014.8   20   19     BAHIA BLANCA AERO                                   
19042021     5  17.4   90  1014.8   20   17     BAHIA BLANCA AERO                                   
19042021     6  16.4   92  1015.1   20   17     BAHIA BLANCA AERO                                   
19042021     7  17.1   91  1015.3   20   15     BAHIA BLANCA AERO                                   
19042021     8  17.0   90  1015.7   50   17     BAHIA BLANCA AERO                                   
19042021     9  19.9   84  1015.8   20   15     BAHIA BLANCA AERO                                   
19042021    10  23.2   72  1015.9   20   30     BAHIA BLANCA AERO                                   
19042021    11  25.2   63  1015.7  360   35     BAHIA BLANCA AERO                                   
19042021    12  26.2   58  1015.6  360   44     BAHIA BLANCA AERO                                   
19042021    13  27.1   55  1015.3  360   37     BAHIA BLANCA AERO                                   
19042021    14  27.5   53  1014.5  360   41     BAHIA BLANCA AERO                                   
19042021    15  27.8   49  1013.8  360   33     BAHIA BLANCA AERO                                   
19042021    16  28.1   48  1013.6  360   35     BAHIA BLANCA AERO                                   
19042021    17  27.4   48  1013.6  360   33     BAHIA BLANCA AERO                                   
19042021    18  26.0   53  1013.7   20   28     BAHIA BLANCA AERO                                   
19042021    19  22.4   66  1014.4   50   13     BAHIA BLANCA AERO                                   
19042021    20  21.0   70  1014.8   50   15     BAHIA BLANCA AERO                                   
19042021    21  20.4   76  1014.7   50   19     BAHIA BLANCA AERO                                   
19042021    22  20.4   75  1014.8   50   20     BAHIA BLANCA AERO                                   
19042021    23  19.6   74  1015.0   50   20     BAHIA BLANCA AERO                                   
19042021     0  11.7   88  1450.0  290    7     BARILOCHE AERO                                      
19042021     1  11.1   91  1445.0  290    7     BARILOCHE AERO                                      
19042021     2  11.0   91  1441.0   20    6     BARILOCHE AERO                                      
19042021     3  10.3   93  1437.0    0    0     BARILOCHE AERO                                      
19042021     4  11.2   89  1431.0    0    0     BARILOCHE AERO                                      
19042021     5  10.4   92  1426.0  110    6     BARILOCHE AERO                                      
19042021     7  10.8   92  1421.0    0    0     BARILOCHE AERO                                      
19042021     8  13.0   81  1421.0  320   15     BARILOCHE AERO                                      
19042021     9  14.0   80  1421.0  320   11     BARILOCHE AERO                                      
19042021    10  13.8   80  1417.0  320   13     BARILOCHE AERO                                      
19042021    11  13.8   81  1413.0  290   17     BARILOCHE AERO                                      
19042021    12  14.3   81  1418.0  320   19     BARILOCHE AERO                                      
19042021    13  13.8   87  1421.0  320   19     BARILOCHE AERO                                      
19042021    14  14.3   85  1423.0  320   15     BARILOCHE AERO                                      
19042021    15  14.1   88  1419.0  320   17     BARILOCHE AERO                                      
19042021    16  13.9   85  1416.0  290   19     BARILOCHE AERO                                      
19042021    17  13.6   87  1428.0  290   19     BARILOCHE AERO                                      
19042021    18  12.1   89  1434.0  290   30     BARILOCHE AERO                                      
19042021    19  11.6   85  1443.0  290   26     BARILOCHE AERO                                      
19042021    20  10.5   84  1451.0  290   11     BARILOCHE AERO                                      
19042021    21  10.5   80  1456.0  290   13     BARILOCHE AERO                                      
19042021    22   9.4   83  1455.0  990    4     BARILOCHE AERO                                      
19042021    23   9.6   81  1457.0  290    6     BARILOCHE AERO                                      
19042021     0 -19.2   83   989.4   20   11     BASE BELGRANO II                                    
19042021     3 -19.2   71   984.6  290    6     BASE BELGRANO II                                    
19042021     6 -22.2   73   986.2  140   26     BASE BELGRANO II                                    
19042021     0   6.5   61   988.6  360   80     BASE CARLINI (EX JUBANY)                            
19042021     3   6.9   59   984.1  360   98     BASE CARLINI (EX JUBANY)                            
19042021     6   4.7   86   985.3  360   59     BASE CARLINI (EX JUBANY)                            
19042021     9   2.6   83   986.2  340   69     BASE CARLINI (EX JUBANY)                            
19042021    12   2.1   84   990.7  320   50     BASE CARLINI (EX JUBANY)                            
19042021    15   1.1   90   993.5  290   43     BASE CARLINI (EX JUBANY)                            
19042021    18    .8   85   995.1  290   15     BASE CARLINI (EX JUBANY)                            
