FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
12032021     0  25.4   61  1012.9  200    7     AEROPARQUE AERO                                     
12032021     1  24.8   66  1012.9  250    7     AEROPARQUE AERO                                     
12032021     2  24.2   69  1012.8  250    7     AEROPARQUE AERO                                     
12032021     3  24.0   68  1012.9  200    9     AEROPARQUE AERO                                     
12032021     4  22.7   70  1013.1  180    6     AEROPARQUE AERO                                     
12032021     5  21.3   85  1013.4  990    4     AEROPARQUE AERO                                     
12032021     6  20.8   92  1013.5  160    7     AEROPARQUE AERO                                     
12032021     7  21.3   89  1014.0  160    4     AEROPARQUE AERO                                     
12032021     8  22.0   88  1014.6  140    7     AEROPARQUE AERO                                     
12032021     9  23.6   79  1014.9   90    6     AEROPARQUE AERO                                     
12032021    10  24.4   81  1015.0   70   11     AEROPARQUE AERO                                     
12032021    11  24.4   81  1015.4   90   17     AEROPARQUE AERO                                     
12032021    12  24.6   79  1015.5   70   15     AEROPARQUE AERO                                     
12032021    13  25.2   77  1015.0   50   15     AEROPARQUE AERO                                     
12032021    14  24.3   83  1014.7   70   13     AEROPARQUE AERO                                     
12032021    15  26.0   74  1014.4   70   15     AEROPARQUE AERO                                     
12032021    16  25.9   75  1013.7   90   17     AEROPARQUE AERO                                     
12032021    17  26.0   71  1013.4   90   20     AEROPARQUE AERO                                     
12032021    18  24.4   81  1013.7  110   30     AEROPARQUE AERO                                     
12032021    19  23.3   74  1014.3   90   35     AEROPARQUE AERO                                     
12032021    20  22.8   69  1014.7   90   31     AEROPARQUE AERO                                     
12032021    21  22.6   64  1015.6  110   33     AEROPARQUE AERO                                     
12032021    22  22.4   70  1016.1   90   31     AEROPARQUE AERO                                     
12032021    23  22.1   68  1016.1   90   30     AEROPARQUE AERO                                     
12032021     0  12.3   78  1014.9  110    7     AZUL AERO                                           
12032021     1  12.0   79  1015.1   90    7     AZUL AERO                                           
12032021     2  11.1   84  1015.0   70   13     AZUL AERO                                           
12032021     3  10.4   85  1014.9  110    2     AZUL AERO                                           
12032021     4   9.7   86  1014.8  180    4     AZUL AERO                                           
12032021     5   7.8   83  1015.2  180    4     AZUL AERO                                           
12032021     6   8.0   89  1015.0  200    4     AZUL AERO                                           
12032021     7   7.8   92  1015.5  160    2     AZUL AERO                                           
12032021     8   9.2   83  1016.1  160    4     AZUL AERO                                           
12032021     9  14.8   79  1016.3   70    4     AZUL AERO                                           
12032021    10  20.3   47  1016.3   20   11     AZUL AERO                                           
12032021    11  22.8   34  1016.5  360   11     AZUL AERO                                           
12032021    12  24.6   36  1016.1  270    7     AZUL AERO                                           
12032021    13  25.8   30  1015.8  270    7     AZUL AERO                                           
12032021    14  26.2   31  1015.4  320    6     AZUL AERO                                           
12032021    15  26.9   28  1015.0  360    9     AZUL AERO                                           
12032021    16  27.4   28  1014.5  270    7     AZUL AERO                                           
12032021    17  27.6   27  1014.1  270    6     AZUL AERO                                           
12032021    18  27.2   31  1014.0   50    4     AZUL AERO                                           
12032021    19  24.0   42  1014.4   90    6     AZUL AERO                                           
