FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
25012021     0  26.8   74  1009.3   90   20     AEROPARQUE AERO                                     
25012021     1  24.8   71  1008.9   50   19     AEROPARQUE AERO                                     
25012021     2  24.3   74  1008.9   50   15     AEROPARQUE AERO                                     
25012021     3  25.0   73  1008.4   50    9     AEROPARQUE AERO                                     
25012021     4  25.5   73  1007.7   50    9     AEROPARQUE AERO                                     
25012021     5  26.5   66  1007.4   50   17     AEROPARQUE AERO                                     
25012021     6  26.0   67  1007.8  360   17     AEROPARQUE AERO                                     
25012021     7  26.4   68  1008.1  360   13     AEROPARQUE AERO                                     
25012021     8  26.4   70  1008.4  360   17     AEROPARQUE AERO                                     
25012021     9  26.6   73  1008.3  340   13     AEROPARQUE AERO                                     
25012021    10  27.0   71  1008.2  360   11     AEROPARQUE AERO                                     
25012021    11  28.8   68  1007.9  360   11     AEROPARQUE AERO                                     
25012021    12  29.8   65  1007.4   50   13     AEROPARQUE AERO                                     
25012021    13  30.1   65  1006.9   50   13     AEROPARQUE AERO                                     
25012021    14  31.0   63  1006.3   50   13     AEROPARQUE AERO                                     
25012021    15  32.0   60  1005.3   50   11     AEROPARQUE AERO                                     
25012021    16  33.0   47  1004.6   20   11     AEROPARQUE AERO                                     
25012021    17  33.0   45  1003.9   50   13     AEROPARQUE AERO                                     
25012021    18  32.6   53  1003.7   70   15     AEROPARQUE AERO                                     
25012021    19  32.0   54  1003.3   50   11     AEROPARQUE AERO                                     
25012021    20  29.6   67  1003.4   90   19     AEROPARQUE AERO                                     
25012021    21  29.4   66  1004.0   90   20     AEROPARQUE AERO                                     
25012021    22  28.4   74  1004.7   90   17     AEROPARQUE AERO                                     
25012021    23  29.2   62  1004.5   90   20     AEROPARQUE AERO                                     
25012021     0  25.6   59  1008.6  360   15     AZUL AERO                                           
25012021     1  23.6   71  1008.3  360   15     AZUL AERO                                           
25012021     2  22.4   78  1008.1  360   13     AZUL AERO                                           
25012021     3  21.6   81  1007.7   50   11     AZUL AERO                                           
25012021     4  19.6   92  1007.1   50   13     AZUL AERO                                           
25012021     5  19.0   92  1006.6   50   11     AZUL AERO                                           
25012021     6  18.8   94  1006.7   50   11     AZUL AERO                                           
25012021     7  19.4   91  1006.7   50   11     AZUL AERO                                           
25012021     8  23.0   78  1006.8  360    6     AZUL AERO                                           
25012021     9  25.8   62  1006.8  360    9     AZUL AERO                                           
25012021    10  28.6   53  1006.3  320   13     AZUL AERO                                           
25012021    11  30.6   48  1005.6  320    7     AZUL AERO                                           
25012021    12  32.6   45  1005.2  320    9     AZUL AERO                                           
25012021    13  33.2   40  1004.8  270   19     AZUL AERO                                           
25012021    14  34.2   38  1004.1  270   17     AZUL AERO                                           
25012021    15  33.6   40  1003.5  320   15     AZUL AERO                                           
25012021    16  35.0   36  1002.9  270   17     AZUL AERO                                           
25012021    17  34.2   35  1002.2  270    9     AZUL AERO                                           
25012021    18  35.2   32  1001.7  270   13     AZUL AERO                                           
